state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
g5, cut, 25, 5, 5, 5, 239524.00, 0.09, 239524.00, 0.08, 239524.00, 0.01, 239524.00, 0.01, 0.93, 0.00, 0.19, 1, 0.00, 0, 0.20, 239524.00, 0.00, 239524.00, 0, Y
g5, lcut, 25, 5, 5, 5, 239524.00, 0.01, 239524.00, 0.03, 239524.00, 0.01, 239524.00, 0.01, 0.93, 0.00, 0.06, 1, 0.00, 0, 0.20, 239524.00, 0.00, 239524.00, 0, Y
g6, cut, 36, 6, 6, 6, 418572.00, 0.11, 418572.00, 0.04, 418572.00, 0.02, 418572.00, 0.01, 0.90, 0.00, 0.19, 1, 0.00, 0, 0.17, 418572.00, 0.00, 418572.00, 0, Y
g6, lcut, 36, 6, 6, 6, 418572.00, 0.11, 418572.00, 0.04, 418572.00, 0.02, 418572.00, 0.01, 0.90, 0.00, 0.18, 1, 0.00, 0, 0.17, 418572.00, 0.00, 418572.00, 0, Y
g7, cut, 49, 7, 7, 7, 637944.00, 0.51, 657706.00, 0.05, 647977.00, 0.04, 647977.00, 0.01, 0.85, 0.07, 0.69, 2, 0.00, 0, 0.14, 647977.00, 0.00, 647977.00, 1, Y
g7, lcut, 49, 7, 7, 7, 637944.00, 0.52, 657706.00, 0.05, 647977.00, 0.04, 647977.00, 0.01, 0.85, 0.07, 0.70, 2, 0.00, 0, 0.14, 647977.00, 0.00, 647977.00, 1, Y
g8, cut, 64, 8, 8, 8, 912051.50, 1.28, 957382.00, 0.10, 956721.00, 0.07, 956721.00, 0.02, 0.76, 0.14, 1.60, 2, 0.00, 0, 0.12, 916840.00, 0.00, 916840.00, 1, Y
g8, lcut, 64, 8, 8, 8, 912051.50, 1.29, 957382.00, 0.10, 956721.00, 0.07, 956721.00, 0.02, 0.76, 0.12, 1.60, 2, 0.00, 0, 0.12, 916840.00, 0.00, 916840.00, 1, Y
g9, cut, 81, 9, 9, 9, 1075716.00, 0.06, 1295194.00, 0.12, 1295194.00, 0.08, 1295194.00, 0.02, 0.63, 0.05, 0.33, 2, 0.00, 0, 0.11, 1075716.00, 0.00, 1075716.00, 0, Y
g9, lcut, 81, 9, 9, 9, 1075716.00, 0.06, 1295194.00, 0.12, 1295194.00, 0.08, 1295194.00, 0.02, 0.63, 0.04, 0.33, 2, 0.00, 0, 0.11, 1075716.00, 0.00, 1075716.00, 0, Y
g10, cut, 100, 10, 10, 10, 1714632.00, 2.05, 1833667.00, 0.17, 1793733.00, 0.33, 1793786.00, 0.04, 0.77, 2.67, 5.28, 7, 0.00, 0, 0.10, 1773005.84, 0.00, 1773005.84, 658, Y
g10, lcut, 100, 10, 10, 10, 1714632.00, 2.11, 1833667.00, 0.18, 1793733.00, 0.33, 1793786.00, 0.04, 0.77, 2.67, 5.35, 7, 0.00, 0, 0.10, 1773005.84, 0.00, 1773005.84, 658, Y
g11, cut, 121, 11, 11, 11, 2325806.00, 6.04, 2471089.00, 0.25, 2411446.00, 0.35, 2411446.00, 0.04, 0.79, 1.12, 7.81, 2, 0.00, 0, 0.09, 2351750.00, 0.00, 2351750.00, 77, Y
g11, lcut, 121, 11, 11, 11, 2325806.00, 6.13, 2471089.00, 0.25, 2411446.00, 0.36, 2411446.00, 0.04, 0.79, 1.12, 7.90, 2, 0.00, 0, 0.09, 2351750.00, 0.00, 2351750.00, 77, Y
g12, cut, 144, 12, 12, 12, 2998819.20, 7.40, 3168802.00, 0.36, 3129225.00, 0.35, 3129225.00, 0.05, 0.79, 11.95, 20.14, 4, 0.00, 0, 0.08, 3068868.00, 0.00, 3068868.00, 1429, Y
g12, lcut, 144, 12, 12, 12, 2998819.20, 7.41, 3168802.00, 0.36, 3129225.00, 0.35, 3129225.00, 0.05, 0.79, 11.98, 20.17, 4, 0.00, 0, 0.08, 3068868.00, 0.00, 3068868.00, 1429, Y
g13, cut, 169, 13, 13, 13, 3815014.63, 21.58, 3925682.00, 0.44, 3915953.00, 0.46, 3915953.00, 0.07, 0.84, 39.16, 61.72, 5, 0.00, 0, 0.08, 3896494.98, 0.00, 3896494.98, 3166, Y
g13, lcut, 169, 13, 13, 13, 3815014.63, 21.57, 3925682.00, 0.44, 3915953.00, 0.46, 3915953.00, 0.07, 0.84, 39.17, 61.72, 5, 0.00, 0, 0.08, 3896494.98, 0.00, 3896494.98, 3166, Y
g14, cut, 196, 14, 14, 14, 4744330.53, 33.52, 4922225.00, 0.49, 4921478.00, 0.62, 4921478.00, 0.08, 0.82, 50.14, 84.86, 4, 0.00, 0, 0.07, 4823580.00, 0.00, 4823580.00, 2089, Y
g14, lcut, 196, 14, 14, 14, 4744330.53, 33.72, 4922225.00, 0.49, 4921478.00, 0.62, 4921478.00, 0.08, 0.82, 49.58, 84.51, 4, 0.00, 0, 0.07, 4823580.00, 0.00, 4823580.00, 2089, Y
g15, cut, 225, 15, 15, 15, 5811590.41, 46.81, 5958358.00, 0.63, 5928563.00, 1.11, 5928563.00, 0.11, 0.86, 87.83, 136.50, 12, 0.00, 0, 0.07, 5879309.65, 0.00, 5879309.65, 3308, Y
g15, lcut, 225, 15, 15, 15, 5811590.41, 46.81, 5958358.00, 0.63, 5928563.00, 1.10, 5928563.00, 0.11, 0.86, 87.73, 136.40, 12, 0.00, 0, 0.07, 5879309.65, 0.00, 5879309.65, 3308, Y
