state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
AK, hess, 29, 1, 706680, 713782, 208749.73, 0.00, 208749.73, 0.02, 208749.73, 0.00, n/a, n/a, 0.97, 0.00, 0.03, n/a, n/a, n/a, 0.41, 208749.73, 0.00, 208749.73, 0, Y
AL, hess, 67, 7, 679406, 686233, 14028.40, 0.01, 15519.54, 1.65, 15519.54, 0.19, n/a, n/a, 0.58, 1.97, 3.83, n/a, n/a, n/a, 0.96, 15519.54, 0.00, 15519.54, 213, Y
AR, hess, 75, 4, 725335, 732624, 16003.91, 0.03, 16525.07, 0.29, 16525.07, 0.04, n/a, n/a, 0.88, 0.17, 0.53, n/a, n/a, n/a, 0.52, 16525.07, 0.00, 16525.07, 1, Y
AZ, hess, 15, 9, 706674, 713775, 165506.85, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, n/a, n/a, n/a, 5.35, infeasible, , , 0, N
CA, hess, 58, 53, 699391, 706419, 11055919.43, 0.01, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.05, n/a, n/a, n/a, 13.90, infeasible, , , 0, N
CO, hess, 64, 7, 714865, 722048, 22614.86, 0.01, 35466.64, 1.74, 35466.64, 0.11, n/a, n/a, 0.29, 0.58, 2.46, n/a, n/a, n/a, 0.86, 35466.64, 0.00, 35466.64, 73, Y
CT, hess, 8, 5, 711246, 718393, 10544.47, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, n/a, n/a, n/a, 1.28, infeasible, , , 0, N
DE, hess, 3, 1, 893445, 902423, 2083.12, 0.00, 2083.12, 0.00, 2083.12, 0.00, n/a, n/a, 0.67, 0.00, 0.01, n/a, n/a, n/a, 0.60, 2083.12, 0.00, 2083.12, 0, Y
FL, hess, 67, 27, 692864, 699826, 114492.72, 0.01, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.04, n/a, n/a, n/a, 3.57, infeasible, , , 0, N
GA, hess, 159, 14, 688516, 695435, 17108.83, 0.02, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.13, n/a, n/a, n/a, 1.32, infeasible, , , 0, N
HI, hess, 5, 2, 676750, 683551, 426140.67, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.00, n/a, n/a, n/a, 1.39, infeasible, , , 0, N
IA, hess, 99, 4, 757781, 765396, 17438.54, 0.01, 17748.05, 0.47, 17748.05, 0.06, n/a, n/a, 0.94, 0.32, 0.85, n/a, n/a, n/a, 0.56, 17748.05, 0.00, 17748.05, 19, Y
ID, hess, 44, 2, 779873, 787709, 57106.52, 0.00, 61232.58, 0.03, 61232.58, 0.01, n/a, n/a, 0.86, 0.02, 0.06, n/a, n/a, n/a, 0.50, 61232.58, 0.00, 61232.58, 1, Y
IL, hess, 102, 18, 709249, 716376, 74787.08, 0.01, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.06, n/a, n/a, n/a, 7.25, infeasible, , , 0, N
IN, hess, 92, 9, 716821, 724024, 11803.91, 0.01, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.05, n/a, n/a, n/a, 1.25, infeasible, , , 0, N
KS, hess, 105, 4, 709714, 716845, 22442.28, 0.01, 23736.89, 0.45, 23736.89, 0.05, n/a, n/a, 0.80, 0.82, 1.34, n/a, n/a, n/a, 0.76, 23736.89, 0.00, 23736.89, 1, Y
KY, hess, 120, 6, 719612, 726843, 15023.16, 0.02, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.07, n/a, n/a, n/a, 1.02, infeasible, , , 0, N
LA, hess, 64, 6, 751785, 759339, 15466.23, 0.01, 17239.16, 0.95, 17239.16, 0.09, n/a, n/a, 0.54, 1.09, 2.14, n/a, n/a, n/a, 0.58, 17239.16, 0.00, 17239.16, 400, Y
MA, hess, 14, 9, 723877, 731151, 29577.08, 0.00, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.02, n/a, n/a, n/a, 2.06, infeasible, , , 0, N
MD, hess, 24, 8, 718086, 725302, 7769.70, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, n/a, n/a, n/a, 1.34, infeasible, , , 0, N
ME, hess, 16, 2, 660860, 667501, 9882.71, 0.00, 10789.07, 0.02, 10789.07, 0.00, n/a, n/a, 0.85, 0.00, 0.03, n/a, n/a, n/a, 0.42, 10789.07, 0.00, 10789.07, 1, Y
MI, hess, 83, 14, 702445, 709504, 38121.06, 0.01, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.05, n/a, n/a, n/a, 2.57, infeasible, , , 0, N
