state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
WV, hess, 484, 3, 614577, 620753, 10789.79, 0.47, 11801.80, 1.83, 11801.80, 0.11, n/a, n/a, 0.48, 27056.92, 27059.68, n/a, n/a, n/a, 0.02, 11801.26, 0.00, 11801.26, 6892, Y
MN, hess, 1338, 8, 659676, 666305, 24207.22, 5.09, 24224.30, 68.90, 24220.32, 63.48, n/a, n/a, 0.89, 2204.75, 2342.88, n/a, n/a, n/a, 0.02, 24220.16, 0.00, 24220.16, 2780, Y
MD, hess, 1406, 8, 718086, 725302, 5079.56, 5.45, 5084.53, 62.59, 5084.53, 3.69, n/a, n/a, 0.94, 36553.32, 36625.51, n/a, n/a, n/a, 0.02, 5084.32, 0.00, 5084.32, 83305, Y
WI, hess, 1409, 8, 707319, 714427, 16272.83, 5.38, 16373.86, 58.46, 16340.39, 8.89, n/a, n/a, 0.79, 173216.16, 173290.19, n/a, n/a, n/a, 0.02, 16311.75, 0.00, 16311.75, 4237, Y
IN, hess, 1511, 9, 716821, 724024, 11061.11, 6.39, 11083.62, 81.87, 11082.23, 8.08, n/a, n/a, 0.97, 10570.75, 10667.43, n/a, n/a, n/a, 0.03, 11081.72, 0.00, 11081.72, 305906, Y
WV, hess, 484, 3, 614577, 620753, 10789.79, 0.52, 11801.80, 1.80, 11801.80, 0.12, n/a, n/a, 0.48, WV, cut, 484, 3, 614577, 620753, 10789.79, 2.46, 11801.80, 1.82, 11801.80, 0.12, 11834.84, 0.19, 0.58, 28984.58, 28989.44, 433, 1.02, 1028, 0.02, 11834.84, 0.00, 11834.84, 129534, Y
UT, cut, 588, 4, 687517, 694426, 22029.31, 4.15, 22038.91, 2.10, 22035.62, 0.78, 22037.00, 0.41, 0.97, 16.84, 24.31, 6, 0.01, 24, 0.03, 22037.00, 0.00, 22037.00, 1319, Y
MN, cut, 1338, 8, 659676, 666305, 24207.22, 22.75, 24224.30, 69.27, 24220.32, 63.11, 24222.68, 10.74, 0.88, 92312.17, 92478.74, 39, 0.38, 48, 0.02, 24221.70, 0.00, 24221.70, 73860, Y
MD, cut, 1406, 8, 718086, 725302, 5079.56, 26.54, 5084.53, 62.44, 5084.53, 3.69, 5084.72, 3.61, 0.95, 75539.58, 75636.28, 49, 0.36, 126, 0.02, 5084.44, 0.00, 5084.44, 270129, Y
WI, cut, 1409, 8, 707319, 714427, 16272.83, 25.01, 16373.86, 58.30, 16340.39, 8.84, 16340.81, 3.54, 0.84, 293674.57, 293771.26, 34, 0.42, 115, 0.02, 16312.72, 0.00, 16312.72, 78550, Y
IN, cut, 1511, 9, 716821, 724024, 11061.11, 27.17, 11083.62, 81.46, 11082.23, 8.08, 11083.32, 3.00, 0.98, 13435.36, 13555.37, 9, 0.05, 4, 0.03, 11081.72, 0.00, 11081.72, 535387, Y
