GEOID10,DP0010001,NEIGHBORS
48113014133,3909,"48113980000,48113014114,48113014103,48113014115,48113014116,48113014113,48113014309"
48113980000,,"48113014133,48113014103,48113014124,48113014116,48113014403,48439113703,48439980000,48113014126"
48113014134,4065,"48113014135,48113014123,48113020000,48121021737"
48113014135,4451,"48113014134,48113014119,48113014120,48113014123,48113020000,48113014126"
48113014131,3811,"48113014132,48113014129,48113014128,48113014127,48113014130"
48113014132,2169,"48113014120,48113014128,48113014127,48113014130,48113014131,48113014121"
48113018505,3190,"48113018506,48113019035,48113019019,48113018503"
48113013625,2625,"48113013616,48113013624,48113013626"
48113010704,5378,"48113010801,48113019900,48113006501,48113006502,48113006700,48113010701,48113016520,48113010703"
48113010801,9363,"48113010704,48113010805,48113006501,48113006502,48113016520,48113010703,48113010803"
48113010803,6610,"48113010801,48113010805,48113010804,48113010904,48113011001,48113006100,48113006301,48113016520,48113010903"
48113010902,6211,"48113010904,48113011101,48113011001,48113016605,48113016607"
48113011001,6484,"48113010904,48113010902,48113011101,48113011002,48113011103,48113006002,48113006100,48113010803"
48113011002,3213,"48113011101,48113011001,48113011103,48113005902,48113011200,48113006002,48113006100"
48113011101,3998,"48113010902,48113011001,48113011002,48113011103,48113011104,48113016605"
48113011103,3917,"48113011101,48113011001,48113011002,48113011104,48113011105,48113011200"
48113011104,3625,"48113011101,48113011103,48113011105,48113016605"
48113016615,3715,"48113016616,48113016624,48113016626"
48113016616,5567,"48139060204,48139060702,48113016615,48113016624,48113016626,48113016523"
48113016617,4413,"48113016606,48113016605,48113016625,48113016612,48113016618"
48113016618,4518,"48113016605,48113016617,48113016619,48113016620,48113016612,48113016611"
48113016619,3434,"48113016605,48113016610,48113016620,48113016618"
48113016620,5412,"48113016703,48113016619,48113016610,48113016802,48113016804,48113016612,48113016618,48113016611"
48113019202,4475,"48113019100,48113019204,48113019203,48113019040,48113019213"
48113019203,3617,"48113019202,48113019100,48113019204,48113019211,48113019206,48113019038"
48113019204,8224,"48113019208,48113013610,48113019202,48113019203,48113019206,48113019205,48113019212,48113019213,48113013607,48113013605,48113013609"
48113018122,13028,"48397040102,48113018123,48113019043,48113018139,48113018124,48085031310,48085031317,48085031311"
48113017900,5063,"48113018002,48113012500,48113018001,48113012302,48113017806,48113017807,48113012301"
48113017806,4745,"48113017805,48113012302,48113017900,48113017804,48113017807"
48113017805,5503,"48113017704,48113017703,48113017813,48113012302,48113017806,48113012100,48113017804,48113017602,48113017500,48113012207,48113012211"
48113013009,4824,"48113013004,48113013008,48113018506,48113013005,48113007811"
48113013008,3630,"48113013004,48113013009,48113007811,48113007826,48113007827"
48113013623,6270,"48113013608,48113013624,48113013626,48113013622,48113013615"
48113013621,3801,"48113013606,48113013619,48113013617,48113013620,48113013622"
48113013622,2781,"48113013608,48113013606,48113013621,48113013620,48113013624,48113013623"
48113013010,4388,"48113018506,48113012800,48113012701,48113013007,48113013011,48113018501,48113018401"
48113012604,5348,"48113018130,48113018127,48113018001,48113012601,48113012603,48113018403"
48113017605,3550,"48113012100,48113017602,48113017606,48113012000,48113011900"
48113017606,4914,"48113012100,48113017602,48113017605,48113017500,48113017604,48113011900,48113017202,48113017201"
48113010904,3281,"48113010902,48113011001,48113016605,48113016607,48113006100,48113016502,48113016516,48113010903,48113010803"
48113011105,4140,"48113011103,48113011104,48113016605,48113011200,48113016703"
48113013101,2827,"48113013200,48113007805,48113007804,48113007604,48113013102,48113013105,48113007823,48113013300"
48113013102,1660,"48113013104,48113007604,48113013105,48113013300,48113013101,48113007700,48113007801"
48113013200,6206,"48113019208,48113013610,48113013608,48113007805,48113019040,48113007804,48113013300,48113013101,48113013400,48113013615,48113009604"
48113013300,1987,"48113013200,48113007604,48113013102,48113013101,48113013400,48113007605,48113009604"
48113013400,1938,"48113013200,48113007604,48113013300,48113009603,48113007605,48113009604,48113007601,48113013500"
48113013500,2459,"48113009608,48113009603,48113013400,48113007605,48113007601,48113009500,48113009609"
48113013605,5296,"48113019204,48113019205,48113013606,48113013619,48113013617,48113013607,48113013618"
48113019208,5504,"48113013200,48113013610,48113019204,48113019040,48113007804,48113019212,48113019213,48113013609"
48113019301,2942,"48113019501,48113019400,48113019302,48113007700,48113007801,48113007906"
48113019302,5215,"48113007914,48113019600,48113000300,48113007909,48113007913,48113019400,48113019301,48113007906"
48113019400,3965,"48113019600,48113019700,48113019502,48113019501,48113019302,48113019301"
48113019501,6569,"48113019502,48113019400,48113019301,48113007700,48113007801,48113007301,48113007101"
48113019502,4346,"48113019800,48113019700,48113019501,48113019400,48113007101"
48113019600,2265,"48113000702,48113000300,48113000606,48113019700,48113019400,48113019302"
48113019700,2047,"48113019600,48113000606,48113019800,48113019502,48113019400"
48113013007,3408,"48113012900,48113013005,48113012800,48113013011,48113013010"
48113013005,3339,"48113013004,48113012900,48113013009,48113018506,48113013007,48113013011"
48113013004,6069,"48113013008,48113012900,48113013009,48113013005,48113007826,48113007827,48113007809,48113008000"
48113012900,4324,"48113013004,48113013005,48113007809,48113008100,48113008200,48113008000,48113012800,48113013007"
48113012800,7169,"48113012900,48113012702,48113012400,48113008200,48113012701,48113013007,48113013010"
48113012702,2969,"48113012500,48113012400,48113008200,48113012800,48113012701,48113012601,48113012603"
48113015900,3731,"48113015600,48113015700,48113015800,48113015500,48113016002,48113016201,48113016301,48113010703"
48113016521,5326,"48113016510,48113016502,48113016520,48113016518,48113016519,48113016301,48113010703,48113016408,48113016409,48113016412"
48113016413,6809,"48113016411,48113016510,48113016410,48113016401,48113016409,48113016412,48113016522"
48113016412,4364,"48113016510,48113016521,48113016401,48113016413,48113016409"
48113014137,2626,"48113014103,48113014136,48113014124,48113014312,48113014206,48113014138"
48113013606,5304,"48113013608,48113013619,48113013607,48113013605,48113013609,48113013621,48113013622"
48113013607,3370,"48113013608,48113019204,48113019205,48113013606,48113013619,48113013605,48113013609"
48113013608,2535,"48113013200,48113013610,48113013606,48113013607,48113013609,48113013622,48113013623,48113013615,48113009604"
48113013609,3643,"48113019208,48113013610,48113013608,48113019204,48113013606,48113013607"
48113013610,4339,"48113013200,48113019208,48113013608,48113019204,48113013609"
48113013611,2605,"48113013617,48113013616,48113013620,48085031704,48085031706,48085031708"
48113013615,5230,"48113013200,48113013608,48113013616,48113013624,48113013626,48113013623,48113009604"
48113019800,4252,"48113000606,48113000601,48113019700,48113000603,48113019502,48113007101"
48113019900,4269,"48113010704,48113006501,48113006700"
48113005600,6638,"48113005400,48113005902,48113005901,48113005700,48113006200,48113006002,48113006001,48113005500"
48113011500,3185,"48113004000,48113003902,48113008603,48113002701,48113009301,48113008400,48113020200,48113009303,48113009103,48113009101,48113003901"
