State n k L U IP_time Total_time Final_LB Final_UB
AL.dimacs 67 7 679406 686233 49.88 49.90 16627.25 16627.25
AR.dimacs 75 4 725335 732624 3.60 3.67 16543.15 16543.15
CO.dimacs 64 7 714865 722048 3599.94 3599.99 44779.18 ?
IA.dimacs 99 4 757781 765396 2.08 2.13 17748.05 17748.05
ID.dimacs 44 2 779873 787709 0.10 0.11 61232.58 61232.58
KS.dimacs 105 4 709714 716845 6.65 6.70 23736.89 23736.89
LA.dimacs 64 6 751785 759339 15.05 15.07 17272.65 17272.65
ME.dimacs 16 2 660860 667501 0.75 0.76 19093.26 19093.26
MS.dimacs 82 4 738116 745533 0.48 0.51 16142.04 16142.04
NE.dimacs 93 3 605737 611824 1.39 1.43 22193.01 22193.01
NH.dimacs 10 2 654944 661526 0.07 0.08 infeasible infeasible
NM.dimacs 33 3 682962 689824 0.06 0.07 32944.25 32944.25
OK.dimacs 77 5 746519 754021 21.92 21.94 21756.50 21756.50
OR.dimacs 36 5 762384 770045 6.66 6.67 infeasible infeasible
SC.dimacs 46 7 657463 664070 3599.89 3599.92 14111.14 ?
WV.dimacs 55 3 614577 620753 3.22 3.23 12000.62 12000.62
