State n k L U IP_time Total_time Final_LB Final_UB
AL.dimacs 67 7 679406 686233 55.84 55.86 16627.25 16627.25
AR.dimacs 75 4 725335 732624 4.19 4.21 16543.15 16543.15
CO.dimacs 64 7 714865 722048 0.00 0.02 infeasible infeasible
IA.dimacs 99 4 757781 765396 1.80 1.84 17748.05 17748.05
ID.dimacs 44 2 779873 787709 0.11 0.12 61232.58 61232.58
KS.dimacs 105 4 709714 716845 5.97 6.02 23736.89 23736.89
LA.dimacs 64 6 751785 759339 16.75 16.77 17272.65 17272.65
ME.dimacs 16 2 660860 667501 0.95 0.96 19093.26 19093.26
MS.dimacs 82 4 738116 745533 0.50 0.53 16142.04 16142.04
NE.dimacs 93 3 605737 611824 1.43 1.47 22193.01 22193.01
NH.dimacs 10 2 654944 661526 0.05 0.06 infeasible infeasible
NM.dimacs 33 3 682962 689824 0.05 0.06 32944.25 32944.25
OK.dimacs 77 5 746519 754021 7.42 7.45 21756.50 21756.50
OR.dimacs 36 5 762384 770045 0.05 0.06 infeasible infeasible
SC.dimacs 46 7 657463 664070 3599.97 3599.98 15313.69 ?
WV.dimacs 55 3 614577 620753 3.42 3.44 12000.62 12000.62
