State n k L U IP_time Total_time Final_LB Final_UB
AL.dimacs 67 7 679406 686233 867.94 871.16 16627.25 16627.25
AR.dimacs 75 4 725335 732624 261.82 266.32 16543.15 16543.15
CO.dimacs 64 7 714865 722048 354.49 357.20 infeasible infeasible
IA.dimacs 99 4 757781 765396 crash crash crash crash
ID.dimacs 44 2 779873 787709 22.03 26.73 61232.58 61232.58
KS.dimacs 105 4 709714 716845 crash crash crash crash
LA.dimacs 64 6 751785 759339 461.30 464.02 17272.65 17272.65
ME.dimacs 16 2 660860 667501 3.59 3.61 19093.26 19093.26
MS.dimacs 82 4 738116 745533 152.85 158.60 16142.04 16142.04
NE.dimacs 93 3 605737 611824 411.04 419.62 22193.01 22193.01
NH.dimacs 10 2 654944 661526 0.19 0.20 infeasible infeasible
NM.dimacs 33 3 682962 689824 8.41 8.72 32944.25 32944.25
OK.dimacs 77 5 746519 754021 326.62 331.48 21756.50 21756.50
OR.dimacs 36 5 762384 770045 102.43 102.83 infeasible infeasible
SC.dimacs 46 7 657463 664070 3600.12 3601.03 13056.08 ?
WV.dimacs 55 3 614577 620753 202.19 203.76 12000.62 12000.62
