State n k L U IP_Time Total_Time Final_LB Final_UB
AL.dimacs 67 7 679406 686233 75.04 75.11 16627.25 16627.25
AR.dimacs 75 4 725335 732624 4.60 4.71 16543.15 16543.15
CO.dimacs 64 7 714865 722048 1.96 2.02 infeasible infeasible
IA.dimacs 99 4 757781 765396 7.07 7.21 17748.05 17748.05
ID.dimacs 44 2 779873 787709 0.44 0.47 61232.58 61232.58
KS.dimacs 105 4 709714 716845 17.26 17.44 23736.89 23736.89
LA.dimacs 64 6 751785 759339 13.20 13.26 17272.65 17272.65
ME.dimacs 16 2 660860 667501 0.70 0.71 19093.26 19093.26
MS.dimacs 82 4 738116 745533 1.35 1.45 16142.04 16142.04
NE.dimacs 93 3 605737 611824 7.19 7.32 22193.01 22193.01
NH.dimacs 10 2 654944 661526 0.13 0.13 infeasible infeasible
NM.dimacs 33 3 682962 689824 0.35 0.37 32944.25 32944.25
OK.dimacs 77 5 746519 754021 21.30 21.39 21756.50 21756.50
OR.dimacs 36 5 762384 770045 0.27 0.29 infeasible infeasible 
SC.dimacs 46 7 657463 664070 3599.80 3599.83 14342.31 ?
WV.dimacs 55 3 614577 620753 7.93 7.98 12000.62 12000.62
