state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
AL, cut, 67, 7, 656642, 663240, 13748.76, 1.89, 15842.19, 3.37, 15842.19, 0.37, 17817.50, 8.12, 0.34, 37.64, 51.42, 43, 0.01, 183, 0.94, 17361.88, 0.00, 17361.88, 58674, Y
AL, cut, 67, 7, 662876, 669537, 13875.00, 2.19, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.02, 2.25, 0, 0.00, 0, 0.99, infeasible, , , 0, N
AL, cut, 67, 7, 647885, 654395, 13576.82, 1.37, 14904.77, 2.39, 14904.77, 0.20, 17574.64, 3.57, 0.32, 26.71, 34.28, 76, 0.01, 240, 0.87, 16015.48, 0.00, 16015.48, 28041, Y
AL, cut, 67, 7, 642421, 648877, 13508.09, 1.83, 14914.85, 2.27, 14914.85, 0.20, 15479.95, 0.83, 0.50, 1.46, 6.61, 5, 0.00, 11, 0.84, 15039.12, 0.00, 15039.12, 430, Y
AL, cut, 67, 7, 657768, 664378, 13791.85, 1.76, 15788.31, 2.02, 15788.31, 0.19, 17219.42, 5.04, 0.35, 6.45, 15.49, 8, 0.00, 26, 0.96, 16312.10, 0.00, 16312.10, 4433, Y
AL, cut, 67, 7, 652888, 659448, 13732.80, 1.57, 16101.72, 3.64, 16101.72, 0.80, infinity, 0.05, 0.00, 48.18, 54.25, 90, 0.01, 1038, 0.88, 16788.95, 0.00, 16788.95, 31590, Y
AL, cut, 67, 7, 663253, 669918, 13796.33, 1.64, 15889.87, 2.53, 15515.70, 0.51, 15559.65, 0.14, 0.50, 1.90, 6.73, 2, 0.00, 4, 0.88, 15559.65, 0.00, 15559.65, 918, Y
AL, cut, 67, 7, 652673, 659231, 13723.01, 1.69, 15526.34, 3.15, 15526.34, 0.30, infinity, 0.05, 0.00, 64.74, 69.94, 131, 0.02, 1457, 0.88, 16244.05, 0.00, 16244.05, 55251, Y
AL, cut, 67, 7, 648725, 655244, 13581.61, 1.80, 15593.48, 3.50, 15584.55, 0.92, 15981.91, 1.42, 0.44, 7.67, 15.34, 17, 0.00, 45, 0.86, 15916.62, 0.00, 15916.62, 7050, Y
AL, cut, 67, 7, 650998, 657539, 13688.60, 1.90, 15583.75, 1.61, 15583.75, 0.26, infinity, 2.66, 0.00, 78.98, 85.44, 59, 0.01, 803, 0.93, infeasible, , , 1726, N
AL, lcut, 67, 7, 656642, 663240, 13748.76, 1.95, 15842.19, 3.37, 15842.19, 0.37, 17817.50, 8.15, 0.34, 39.10, 52.97, 38, 0.01, 153, 0.94, 17361.88, 0.00, 17361.88, 59268, Y
AL, lcut, 67, 7, 662876, 669537, 13875.00, 2.23, infinity, 0.03, infinity, 0.00, n/a, n/a, 0.00, 0.00, 2.27, 0, 0.00, 0, 0.99, infeasible, , , 0, N
AL, lcut, 67, 7, 647885, 654395, 13576.82, 1.36, 14904.77, 2.39, 14904.77, 0.21, 17574.64, 3.51, 0.32, 35.25, 42.74, 75, 0.03, 268, 0.87, 16015.48, 0.00, 16015.48, 30788, Y
AL, lcut, 67, 7, 642421, 648877, 13508.09, 1.93, 14914.85, 2.27, 14914.85, 0.20, 15479.95, 0.82, 0.50, 1.40, 6.70, 5, 0.00, 11, 0.84, 15039.12, 0.00, 15039.12, 376, Y
AL, lcut, 67, 7, 657768, 664378, 13791.85, 1.80, 15788.31, 2.01, 15788.31, 0.19, 17219.42, 5.03, 0.35, 10.66, 19.75, 11, 0.00, 29, 0.96, 16312.10, 0.00, 16312.10, 3802, Y
AL, lcut, 67, 7, 652888, 659448, 13732.80, 1.64, 16101.72, 3.63, 16101.72, 0.80, infinity, 0.05, 0.00, 39.07, 45.19, 67, 0.06, 843, 0.88, 16788.95, 0.00, 16788.95, 31983, Y
AL, lcut, 67, 7, 663253, 669918, 13796.33, 1.65, 15889.87, 2.53, 15515.70, 0.51, 15559.65, 0.14, 0.50, 2.26, 7.09, 1, 0.00, 0, 0.88, 15559.65, 0.00, 15559.65, 954, Y
AL, lcut, 67, 7, 652673, 659231, 13723.01, 1.65, 15526.34, 3.15, 15526.34, 0.30, infinity, 0.05, 0.00, 53.83, 58.99, 119, 0.09, 1247, 0.88, 16244.05, 0.00, 16244.05, 40512, Y
AL, lcut, 67, 7, 648725, 655244, 13581.61, 1.83, 15593.48, 3.50, 15584.55, 0.92, 15981.91, 1.43, 0.44, 5.57, 13.27, 15, 0.00, 41, 0.86, 15916.62, 0.00, 15916.62, 5662, Y
AL, lcut, 67, 7, 650998, 657539, 13688.60, 1.91, 15583.75, 1.60, 15583.75, 0.26, infinity, 2.68, 0.00, 3.36, 9.85, 5, 0.00, 71, 0.93, infeasible, , , 687, N
AR, cut, 75, 4, 713501, 720670, 16062.72, 1.43, 16680.55, 0.34, 16680.55, 0.03, 16830.54, 0.15, 0.73, 0.56, 2.52, 7, 0.00, 5, 0.52, 16806.53, 0.00, 16806.53, 52, Y
AR, cut, 75, 4, 696817, 703819, 15628.41, 1.35, 15990.73, 0.31, 15990.73, 0.04, 15990.73, 0.03, 0.81, 0.11, 1.84, 2, 0.00, 0, 0.46, 15990.73, 0.00, 15990.73, 1, Y
AR, cut, 75, 4, 727218, 734525, 16134.68, 1.18, 16663.49, 0.41, 16663.49, 0.04, 16729.30, 0.09, 0.73, 0.26, 1.99, 6, 0.00, 5, 0.50, 16680.72, 0.00, 16680.72, 57, Y
AR, cut, 75, 4, 723009, 730275, 16113.04, 1.43, 16542.71, 0.35, 16542.71, 0.03, 16542.71, 0.03, 0.82, 0.06, 1.89, 1, 0.00, 0, 0.49, 16542.71, 0.00, 16542.71, 1, Y
AR, cut, 75, 4, 718525, 725745, 15929.92, 1.16, 16498.14, 0.42, 16498.14, 0.04, 16498.14, 0.02, 0.76, 0.24, 1.88, 4, 0.00, 0, 0.49, 16498.14, 0.00, 16498.14, 1, Y
AR, cut, 75, 4, 724901, 732185, 15892.64, 1.38, 16372.92, 0.49, 16372.92, 0.03, 16372.92, 0.04, 0.83, 0.08, 2.03, 2, 0.00, 0, 0.52, 16372.92, 0.00, 16372.92, 1, Y
AR, cut, 75, 4, 691239, 698185, 15336.53, 1.32, 15862.60, 0.56, 15862.60, 0.03, 15862.60, 0.03, 0.77, 0.22, 2.17, 4, 0.00, 0, 0.47, 15862.60, 0.00, 15862.60, 1, Y
AR, cut, 75, 4, 698152, 705168, 15605.03, 1.23, 16094.87, 0.52, 16094.87, 0.03, 16094.87, 0.05, 0.77, 0.15, 1.99, 4, 0.00, 0, 0.48, 16094.87, 0.00, 16094.87, 1, Y
